,가격,구매건수,리뷰 건수,찜 건수,개당 원가
233,36000,28,147,182,11200.0
234,16900,51,490,66,9290.0
235,77900,90,31,100,15390.0
236,64350,302,108,188,14035.0
237,49800,35,16,13,12580.0
238,28900,795,1146,113,10490.0
239,79000,30,582,630,15500.0
240,125000,121,36,142,20100.0
241,39000,45,12,253,11500.0
242,29000,75,13,76,10500.0
243,126500,17,10,51,20250.0
244,69990,540,569,1056,14599.0
245,30490,3,1,7,10649.0
246,29000,126,305,243,10500.0
247,20790,23,4,11,9679.0
248,69000,8,6,516,14500.0
249,35800,4,3,14,11180.0
250,103000,1120,1390,2523,17900.0
251,109000,129,78,1216,18500.0
252,17500,2,1,3,9350.0
253,19900,497,1308,398,9590.0
254,40900,5,23,12,11690.0
255,12500,5,1,1,7500.0
256,41900,2,3,5,11790.0
257,18000,32,19,38,9400.0
258,13350,9,1,5,8010.0
